Year,Units,Series,Time series,Kategorie der letzten Verwendung,Rohstoffkategorie,Value
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,"Steine, Erden und Industrieminerale",594.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,"Steine, Erden und Industrieminerale",606.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,"Steine, Erden und Industrieminerale",591.0
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Biotische Rohstoffe,206.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Biotische Rohstoffe,216.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Biotische Rohstoffe,213.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Biotische Rohstoffe,205.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Biotische Rohstoffe,227.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Biotische Rohstoffe,205.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Biotische Rohstoffe,202.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Biotische Rohstoffe,217.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Biotische Rohstoffe,192.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Biotische Rohstoffe,203.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Biotische Rohstoffe,209.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Biotische Rohstoffe,216.0
